step,picked,placed_v2,farside,slide_event,home,nested_v2,tipped
7176,0,0,0,0,0,0,1
7197,0,0,0,0,0,0,0
7198,0,0,0,0,0,0,0
7199,0,0,0,0,0,0,0
7200,0,0,0,0,0,0,0
7201,0,0,0,0,0,0,0
14376,0,0,0,0,0,0,0
14397,0,0,0,0,0,0,0
14398,0,0,0,0,0,0,0
14399,0,0,0,0,0,0,0
14400,0,0,0,0,0,0,0
14401,0,0,0,0,0,0,0
21576,0,0,0,0,0,0,0
21597,0,0,0,0,0,0,0
21598,0,0,0,0,0,0,0
21599,0,0,0,0,0,0,0
21600,0,0,0,0,0,0,0
21601,0,0,0,0,0,0,0
21625,0,0,0,0,0,0,1
28772,0,0,0,0,0,0,0
28794,0,0,0,0,0,0,0
28795,0,0,0,0,0,0,0
28796,0,0,0,0,0,0,0
28797,0,0,0,0,0,0,0
28825,0,0,0,0,0,0,0
35972,0,0,0,0,0,0,0
35994,0,0,0,0,0,0,0
35995,0,0,0,0,0,0,0
35996,0,0,0,0,0,0,0
35997,0,0,0,0,0,0,0
36025,0,0,0,0,0,0,0
36239,1,0,0,0,0,0,1
37027,1,0,0,0,0,0,1
37071,0,0,0,0,0,0,1
43160,0,0,0,0,0,0,0
43182,0,0,0,0,0,0,0
43184,0,0,0,0,0,0,0
43185,0,0,0,0,0,0,0
43217,0,0,0,0,0,0,0
44271,0,0,0,0,0,0,0
50360,0,0,0,0,0,0,0
50382,0,0,0,0,0,0,0
50384,0,0,0,0,0,0,0
50385,0,0,0,0,0,0,0
50417,0,0,0,0,0,0,0
50869,0,0,0,0,0,0,1
51467,0,0,0,0,0,0,0
57556,0,0,0,0,0,0,0
57578,0,0,0,0,0,0,0
57580,0,0,0,0,0,0,0
57581,0,0,0,0,0,0,0
58069,0,0,0,0,0,0,0
58117,1,0,0,0,0,0,1
58663,0,0,0,0,0,0,0
59309,0,0,0,0,0,0,1
59588,0,0,0,0,0,0,1
64770,0,0,0,0,0,0,0
64772,0,0,0,0,0,0,0
65265,0,0,0,0,0,0,0
65672,0,0,0,0,0,0,1
65859,0,0,0,0,0,0,0
66505,0,0,0,0,0,0,0
66739,0,0,0,0,0,0,1
66780,0,0,0,0,0,0,0
69108,0,0,0,0,0,0,1
71958,0,0,0,0,0,0,0
72457,0,0,0,0,0,0,0
72501,0,0,0,0,0,0,1
72978,0,0,0,0,0,0,1
73697,0,0,0,0,0,0,0
73931,0,0,0,0,0,0,0
73972,0,0,0,0,0,0,0
74693,0,0,0,0,0,0,1
75068,0,0,0,0,0,0,1
76292,0,0,0,0,0,0,0
79693,0,0,0,0,0,0,0
80170,0,0,0,0,0,0,0
81127,0,0,0,0,0,0,0
81893,0,0,0,0,0,0,0
82268,0,0,0,0,0,0,0
83492,0,0,0,0,0,0,0
86893,0,0,0,0,0,0,0
87060,1,0,0,0,0,0,1
87366,1,0,0,0,0,0,0
88323,0,0,0,0,0,0,0
89089,0,0,0,0,0,0,0
89297,1,0,0,0,0,0,1
89460,0,0,0,0,0,0,0
90129,0,0,0,0,0,0,1
90484,0,0,0,0,0,0,1
94056,1,0,0,0,0,0,1
94248,0,0,0,0,0,0,0
94554,1,0,0,0,0,0,0
95511,0,0,0,0,0,0,0
95555,0,0,0,0,0,0,1
96273,1,0,0,0,0,0,0
97321,1,0,0,0,0,0,0
97365,0,0,0,0,0,0,1
98781,1,0,0,0,0,0,1
101244,0,0,0,0,0,0,0
101436,0,0,0,0,0,0,0
101599,0,0,0,0,0,0,1
101738,0,0,0,0,0,0,0
102069,0,0,0,0,0,0,1
102496,0,0,0,0,0,0,1
104583,0,0,0,0,0,0,1
105973,1,0,0,0,0,0,0
107333,0,0,0,0,0,0,1
107621,1,0,0,0,0,0,1
108624,1,0,0,0,0,0,0
108930,1,0,0,0,0,0,0
109309,1,0,0,0,0,0,1
109688,1,0,0,0,0,0,0
110864,1,0,0,0,0,0,1
111553,0,0,0,0,0,0,1
111767,0,0,0,0,0,0,0
113420,1,0,0,0,0,0,1
114132,1,0,0,0,0,0,1
114178,1,0,0,0,0,0,1
114801,0,0,0,0,0,0,0
115632,0,0,0,0,0,0,1
118605,1,0,0,0,0,0,1
118963,1,0,0,0,0,0,0
120616,0,0,0,0,0,0,0
121378,0,0,0,0,0,0,0
122001,0,0,0,0,0,0,0
122545,0,0,0,0,0,0,1
122828,0,0,0,0,0,0,0
125277,1,0,0,0,0,0,1
125940,1,0,0,0,0,0,1
126155,0,0,0,0,0,0,0
127589,1,0,0,0,0,0,1
127804,1,0,0,0,0,0,0
128566,0,0,0,0,0,0,0
129258,0,0,0,0,0,0,1
131630,1,0,0,0,0,0,1
131632,1,0,0,0,0,0,1
132056,0,0,0,0,0,0,1
132290,0,0,0,0,0,0,1
132457,0,0,0,0,0,0,0
133120,0,0,0,0,0,0,0
133335,1,0,0,0,0,0,0
134769,1,0,0,0,0,0,0
139256,1,0,0,0,0,0,0
139490,1,0,0,0,0,0,0
139657,1,0,0,0,0,0,0
140320,1,0,0,0,0,0,0
140535,1,0,0,0,0,0,0
141969,1,0,0,0,0,0,0
142636,1,0,0,0,0,0,1
142680,0,0,0,0,0,0,1
143780,1,0,0,0,0,0,1
144448,1,0,0,0,0,0,1
145716,0,0,0,0,0,0,1
146436,1,0,0,0,0,0,0
146670,1,0,0,0,0,0,0
146837,1,0,0,0,0,0,0
147528,0,0,0,0,0,0,1
147715,0,0,0,0,0,0,0
149149,0,0,0,0,0,0,0
149194,0,0,0,0,0,0,1
152908,0,0,0,0,0,0,0
154037,0,0,0,0,0,0,0
154728,0,0,0,0,0,0,0
154915,0,0,0,0,0,0,0
155320,1,0,0,0,0,0,1
156345,0,0,0,0,0,0,0
156390,0,0,0,0,0,0,0
160104,0,0,0,0,0,0,0
160772,1,0,0,0,0,0,1
161229,0,0,0,0,0,0,0
161892,1,0,0,0,0,0,1
162107,0,0,0,0,0,0,0
162489,1,0,0,0,0,0,1
