step,picked,placed_v2,farside,slide_event,home,nested_v2,tipped
7200,0,0,0,0,0,0,0
7201,0,0,0,0,0,0,0
7202,0,0,0,0,0,0,0
7203,0,0,0,0,0,0,0
7204,0,0,0,0,0,0,0
7205,0,0,0,0,0,0,0
7514,0,0,0,0,0,0,1
9144,0,0,0,0,0,0,1
14392,0,0,0,0,0,0,0
14393,0,0,0,0,0,0,0
14395,0,0,0,0,0,0,0
14397,0,0,0,0,0,0,0
14714,0,0,0,0,0,0,0
16344,0,0,0,0,0,0,0
21592,0,0,0,0,0,0,0
21593,0,0,0,0,0,0,0
21595,0,0,0,0,0,0,0
21597,0,0,0,0,0,0,0
21625,0,0,0,0,0,0,1
21910,0,0,0,0,0,0,0
23540,0,0,0,0,0,0,0
28788,0,0,0,0,0,0,0
28791,0,0,0,0,0,0,0
28793,0,0,0,0,0,0,0
28825,0,0,0,0,0,0,0
29110,0,0,0,0,0,0,0
29133,0,0,0,0,0,0,1
30736,0,0,0,0,0,0,0
35984,0,0,0,0,0,0,0
35987,0,0,0,0,0,0,0
36025,0,0,0,0,0,0,0
36310,0,0,0,0,0,0,0
36333,0,0,0,0,0,0,0
37936,0,0,0,0,0,0,0
43184,0,0,0,0,0,0,0
43187,0,0,0,0,0,0,0
43225,0,0,0,0,0,0,0
43510,0,0,0,0,0,0,0
43533,0,0,0,0,0,0,0
45136,0,0,0,0,0,0,0
50384,0,0,0,0,0,0,0
50387,0,0,0,0,0,0,0
50425,0,0,0,0,0,0,0
50427,0,0,0,0,0,0,1
50706,0,0,0,0,0,0,0
50729,0,0,0,0,0,0,0
50985,0,0,0,0,0,0,1
52328,0,0,0,0,0,0,0
57576,0,0,0,0,0,0,0
57623,0,0,0,0,0,0,0
57906,0,0,0,0,0,0,0
57929,0,0,0,0,0,0,0
58185,0,0,0,0,0,0,0
59528,0,0,0,0,0,0,0
64776,0,0,0,0,0,0,0
64823,0,0,0,0,0,0,0
65106,0,0,0,0,0,0,0
65129,0,0,0,0,0,0,0
65385,0,0,0,0,0,0,0
66728,0,0,0,0,0,0,0
71976,0,0,0,0,0,0,0
72023,0,0,0,0,0,0,0
72306,0,0,0,0,0,0,0
72329,0,0,0,0,0,0,0
72585,0,0,0,0,0,0,0
72629,0,0,0,0,0,0,1
73924,0,0,0,0,0,0,0
79172,0,0,0,0,0,0,0
79219,0,0,0,0,0,0,0
79502,0,0,0,0,0,0,0
79525,0,0,0,0,0,0,0
79829,0,0,0,0,0,0,0
81124,0,0,0,0,0,0,0
82872,1,1,1,1,0,0,1
84089,1,0,0,0,0,0,1
86364,0,0,0,0,0,0,0
86411,0,0,0,0,0,0,0
86694,0,0,0,0,0,0,0
86717,0,0,0,0,0,0,0
90021,0,0,0,0,0,0,1
90068,0,0,0,0,0,0,0
93564,0,0,0,0,0,0,0
93611,0,0,0,0,0,0,0
93894,0,0,0,0,0,0,0
93917,0,0,0,0,0,0,0
95900,0,0,0,0,0,0,1
97217,0,0,0,0,0,0,0
97264,0,0,0,0,0,0,0
100811,0,0,0,0,0,0,0
101094,0,0,0,0,0,0,0
101117,0,0,0,0,0,0,0
103100,0,0,0,0,0,0,0
104417,0,0,0,0,0,0,0
104461,0,0,0,0,0,0,1
104464,0,0,0,0,0,0,0
108007,0,0,0,0,0,0,0
108290,0,0,0,0,0,0,0
108313,0,0,0,0,0,0,0
110296,0,0,0,0,0,0,0
111661,0,0,0,0,0,0,0
111664,0,0,0,0,0,0,0
115207,0,0,0,0,0,0,0
115251,0,0,0,0,0,0,1
115486,0,0,0,0,0,0,0
115509,0,0,0,0,0,0,0
117492,0,0,0,0,0,0,0
118857,0,0,0,0,0,0,0
118860,0,0,0,0,0,0,0
122451,0,0,0,0,0,0,0
122686,0,0,0,0,0,0,0
122709,0,0,0,0,0,0,0
124692,0,0,0,0,0,0,0
126057,0,0,0,0,0,0,0
126060,0,0,0,0,0,0,0
129651,0,0,0,0,0,0,0
129886,0,0,0,0,0,0,0
129909,0,0,0,0,0,0,0
131892,0,0,0,0,0,0,0
133257,0,0,0,0,0,0,0
133260,0,0,0,0,0,0,0
136851,0,0,0,0,0,0,0
137086,0,0,0,0,0,0,0
137109,0,0,0,0,0,0,0
139092,0,0,0,0,0,0,0
140457,0,0,0,0,0,0,0
140460,0,0,0,0,0,0,0
144051,0,0,0,0,0,0,0
144286,0,0,0,0,0,0,0
144309,0,0,0,0,0,0,0
146292,0,0,0,0,0,0,0
