step,picked,placed_v2,farside,slide_event,home,nested_v2,tipped
7200,0,0,0,0,0,0,0
7201,0,0,0,0,0,0,0
7202,0,0,0,0,0,0,0
7203,0,0,0,0,0,0,0
7204,0,0,0,0,0,0,0
7205,0,0,0,0,0,0,0
7224,0,0,0,0,0,0,1
14397,0,0,0,0,0,0,0
14398,0,0,0,0,0,0,0
14399,0,0,0,0,0,0,0
14400,0,0,0,0,0,0,0
14401,0,0,0,0,0,0,0
14424,0,0,0,0,0,0,0
21597,0,0,0,0,0,0,0
21598,0,0,0,0,0,0,0
21599,0,0,0,0,0,0,0
21600,0,0,0,0,0,0,0
21601,0,0,0,0,0,0,0
21624,0,0,0,0,0,0,0
23231,0,0,0,0,0,0,1
23564,0,0,0,0,0,0,1
28789,0,0,0,0,0,0,0
28790,0,0,0,0,0,0,0
28793,0,0,0,0,0,0,0
28824,0,0,0,0,0,0,0
30313,0,0,0,0,0,0,1
30427,0,0,0,0,0,0,0
30760,0,0,0,0,0,0,0
31837,0,0,0,0,0,0,1
35981,0,0,0,0,0,0,0
35982,0,0,0,0,0,0,0
36020,0,0,0,0,0,0,0
37627,0,0,0,0,0,0,0
37960,0,0,0,0,0,0,0
39037,0,0,0,0,0,0,0
43181,0,0,0,0,0,0,0
43182,0,0,0,0,0,0,0
43220,0,0,0,0,0,0,0
44827,0,0,0,0,0,0,0
45160,0,0,0,0,0,0,0
46237,0,0,0,0,0,0,0
50381,0,0,0,0,0,0,0
50382,0,0,0,0,0,0,0
50420,0,0,0,0,0,0,0
52027,0,0,0,0,0,0,0
52360,0,0,0,0,0,0,0
53437,0,0,0,0,0,0,0
54417,0,0,0,0,0,0,1
57577,0,0,0,0,0,0,0
57578,0,0,0,0,0,0,0
57616,0,0,0,0,0,0,0
58596,1,0,0,0,0,0,1
59219,0,0,0,0,0,0,0
59262,0,0,0,0,0,0,1
59548,0,0,0,0,0,0,0
60020,0,0,0,0,0,0,1
60023,0,0,0,0,0,0,1
61601,0,0,0,0,0,0,0
63036,1,0,0,0,0,0,1
64757,0,0,0,0,0,0,0
66076,0,0,0,0,0,0,1
66454,0,0,0,0,0,0,0
67216,0,0,0,0,0,0,0
67219,0,0,0,0,0,0,0
68024,0,0,0,0,0,0,1
68793,0,0,0,0,0,0,0
71953,0,0,0,0,0,0,0
73272,0,0,0,0,0,0,0
73650,0,0,0,0,0,0,0
74415,0,0,0,0,0,0,0
75224,0,0,0,0,0,0,0
75993,0,0,0,0,0,0,0
78269,1,0,0,0,0,0,1
78886,0,0,0,0,0,0,1
79145,0,0,0,0,0,0,0
79454,0,0,0,0,0,0,1
80460,0,0,0,0,0,0,0
81368,0,0,0,0,0,0,1
81603,0,0,0,0,0,0,0
82412,0,0,0,0,0,0,0
83250,0,0,0,0,0,0,1
85457,0,0,0,0,0,0,0
85501,0,0,0,0,0,0,1
85852,0,0,0,0,0,0,1
85925,0,0,0,0,0,0,1
86325,0,0,0,0,0,0,0
87500,0,0,0,0,0,0,1
87663,0,0,0,0,0,0,1
88212,0,0,0,0,0,0,1
90438,0,0,0,0,0,0,0
90820,0,0,0,0,0,0,1
92784,1,0,0,0,0,0,1
93040,0,0,0,0,0,0,0
93113,0,0,0,0,0,0,0
93513,0,0,0,0,0,0,0
94855,0,0,0,0,0,0,0
97634,0,0,0,0,0,0,0
99984,0,0,0,0,0,0,0
100240,0,0,0,0,0,0,0
100313,0,0,0,0,0,0,0
100713,0,0,0,0,0,0,0
102055,0,0,0,0,0,0,0
104834,0,0,0,0,0,0,0
106942,0,0,0,0,0,0,1
107180,0,0,0,0,0,0,0
107436,0,0,0,0,0,0,0
107509,0,0,0,0,0,0,0
107909,0,0,0,0,0,0,0
109251,0,0,0,0,0,0,0
114142,0,0,0,0,0,0,0
114380,0,0,0,0,0,0,0
114636,0,0,0,0,0,0,0
114709,0,0,0,0,0,0,0
115109,0,0,0,0,0,0,0
115349,0,0,0,0,0,0,1
116447,0,0,0,0,0,0,0
121338,0,0,0,0,0,0,0
121576,0,0,0,0,0,0,0
121832,0,0,0,0,0,0,0
122309,0,0,0,0,0,0,0
122549,0,0,0,0,0,0,0
122781,0,0,0,0,0,0,1
123643,0,0,0,0,0,0,0
124143,0,0,0,0,0,0,1
128530,0,0,0,0,0,0,0
128768,0,0,0,0,0,0,0
128979,0,0,0,0,0,0,1
129020,0,0,0,0,0,0,0
129472,0,0,0,0,0,0,1
129737,0,0,0,0,0,0,0
