step,picked,placed_v2,farside,slide_event,home,nested_v2,tipped
4396,0,0,0,0,0,0,1
5397,0,0,0,0,0,0,1
7192,0,0,0,0,0,0,0
7194,0,0,0,0,0,0,0
7195,0,0,0,0,0,0,0
7197,0,0,0,0,0,0,0
11596,0,0,0,0,0,0,0
12597,0,0,0,0,0,0,0
14392,0,0,0,0,0,0,0
14394,0,0,0,0,0,0,0
14395,0,0,0,0,0,0,0
14397,0,0,0,0,0,0,0
18796,0,0,0,0,0,0,0
19797,0,0,0,0,0,0,0
21592,0,0,0,0,0,0,0
21594,0,0,0,0,0,0,0
21595,0,0,0,0,0,0,0
21597,0,0,0,0,0,0,0
23064,0,0,0,0,0,0,1
25992,0,0,0,0,0,0,0
26993,0,0,0,0,0,0,0
27301,0,0,0,0,0,0,1
28786,0,0,0,0,0,0,0
28787,0,0,0,0,0,0,0
28789,0,0,0,0,0,0,0
30260,0,0,0,0,0,0,0
32445,1,0,0,0,0,0,1
33184,0,0,0,0,0,0,0
34497,0,0,0,0,0,0,0
35982,0,0,0,0,0,0,0
35983,0,0,0,0,0,0,0
37460,0,0,0,0,0,0,0
39645,0,0,0,0,0,0,0
40384,0,0,0,0,0,0,0
41530,0,0,0,0,0,0,1
41693,0,0,0,0,0,0,0
43179,0,0,0,0,0,0,0
43894,0,0,0,0,0,0,1
44611,0,0,0,0,0,0,1
44652,0,0,0,0,0,0,0
44989,0,0,0,0,0,0,1
47576,0,0,0,0,0,0,0
48889,0,0,0,0,0,0,0
51094,0,0,0,0,0,0,0
51811,0,0,0,0,0,0,0
51852,0,0,0,0,0,0,0
52189,0,0,0,0,0,0,0
54776,0,0,0,0,0,0,0
56089,0,0,0,0,0,0,0
58294,0,0,0,0,0,0,0
59011,0,0,0,0,0,0,0
59052,0,0,0,0,0,0,0
59389,0,0,0,0,0,0,0
61976,0,0,0,0,0,0,0
63289,0,0,0,0,0,0,0
65494,0,0,0,0,0,0,0
66211,0,0,0,0,0,0,0
66252,0,0,0,0,0,0,0
66589,0,0,0,0,0,0,0
69176,0,0,0,0,0,0,0
70489,0,0,0,0,0,0,0
72694,0,0,0,0,0,0,0
73411,0,0,0,0,0,0,0
73452,0,0,0,0,0,0,0
73455,0,0,0,0,0,0,1
73785,0,0,0,0,0,0,0
76372,0,0,0,0,0,0,0
77160,0,0,0,0,0,0,1
77681,0,0,0,0,0,0,0
79886,0,0,0,0,0,0,0
80648,0,0,0,0,0,0,0
80651,0,0,0,0,0,0,0
80981,0,0,0,0,0,0,0
84360,0,0,0,0,0,0,0
84881,0,0,0,0,0,0,0
85144,1,0,0,0,0,0,1
87082,1,0,0,0,0,0,0
87844,0,0,0,0,0,0,0
87847,0,0,0,0,0,0,0
88177,0,0,0,0,0,0,0
92081,0,0,0,0,0,0,0
92344,0,0,0,0,0,0,0
94282,1,0,0,0,0,0,0
95044,0,0,0,0,0,0,0
95047,0,0,0,0,0,0,0
95377,0,0,0,0,0,0,0
99281,0,0,0,0,0,0,0
99544,0,0,0,0,0,0,0
99588,0,0,0,0,0,0,1
101478,0,0,0,0,0,0,0
102240,0,0,0,0,0,0,0
102243,0,0,0,0,0,0,0
102573,0,0,0,0,0,0,0
106477,0,0,0,0,0,0,0
106788,0,0,0,0,0,0,0
108678,1,0,0,0,0,0,0
109440,0,0,0,0,0,0,0
109443,0,0,0,0,0,0,0
109773,0,0,0,0,0,0,0
113677,0,0,0,0,0,0,0
113988,0,0,0,0,0,0,0
115878,0,0,0,0,0,0,0
116640,0,0,0,0,0,0,0
116643,0,0,0,0,0,0,0
116973,0,0,0,0,0,0,0
118524,1,0,0,0,0,0,1
119579,0,0,0,0,0,0,1
120869,0,0,0,0,0,0,0
121180,0,0,0,0,0,0,0
123070,0,0,0,0,0,0,0
124173,0,0,0,0,0,0,0
125724,0,0,0,0,0,0,0
126779,0,0,0,0,0,0,0
128069,0,0,0,0,0,0,0
128380,0,0,0,0,0,0,0
130270,0,0,0,0,0,0,0
131373,0,0,0,0,0,0,0
131846,0,0,0,0,0,0,1
132920,0,0,0,0,0,0,0
133975,0,0,0,0,0,0,0
135265,0,0,0,0,0,0,0
135576,0,0,0,0,0,0,0
138573,0,0,0,0,0,0,0
139046,0,0,0,0,0,0,0
140120,0,0,0,0,0,0,0
141175,0,0,0,0,0,0,0
142465,0,0,0,0,0,0,0
142776,0,0,0,0,0,0,0
145773,0,0,0,0,0,0,0
146246,0,0,0,0,0,0,0
147320,0,0,0,0,0,0,0
148375,0,0,0,0,0,0,0
149665,1,0,0,0,0,0,0
149976,0,0,0,0,0,0,0
152973,0,0,0,0,0,0,0
153446,0,0,0,0,0,0,0
154520,0,0,0,0,0,0,0
155575,0,0,0,0,0,0,0
156865,0,0,0,0,0,0,0
157176,0,0,0,0,0,0,0
160149,0,0,0,0,0,0,1
160646,0,0,0,0,0,0,0
161720,0,0,0,0,0,0,0
162775,0,0,0,0,0,0,0
163562,0,0,0,0,0,0,1
164061,0,0,0,0,0,0,0
164372,0,0,0,0,0,0,0
165735,1,0,0,0,0,0,1
166497,1,0,0,0,0,0,1
167337,0,0,0,0,0,0,0
168624,0,0,0,0,0,0,1
170758,0,0,0,0,0,0,0
171572,0,0,0,0,0,0,0
172935,0,0,0,0,0,0,0
